company_id,cluster_name,best_stage,missing_layers,補問日期,補問人員,是否成功補充,補問後階段,推進天數,備註
35101,C5 家族外銷,B,L4,,,,,,
45193,C5 家族外銷,A,L4,,,,,,
39226,C4 品牌驅動,A,L4,,,,,,
30294,C5 家族外銷,C2,L4/L5,,,,,,
7070,C1 標準內銷,B,L4,,,,,,
8966,C1 標準內銷,A,L4,,,,,,
4899,C2 大型外商,A,L4/L5,,,,,,
45792,C4 品牌驅動,A,L4,,,,,,
40650,C5 家族外銷,A,L4,,,,,,
264,C1 標準內銷,B,L4,,,,,,
25559,C5 家族外銷,B,L4,,,,,,
19903,C5 家族外銷,A,L4/L6,,,,,,
43746,C1 標準內銷,B,L4,,,,,,
36569,C1 標準內銷,B,L4/L6,,,,,,
19233,C1 標準內銷,A,L4,,,,,,
25400,C5 家族外銷,B,L4/L6,,,,,,
26842,C5 家族外銷,A,L4,,,,,,
15630,C5 家族外銷,B,L4,,,,,,
14679,C5 家族外銷,A,L4,,,,,,
15141,C5 家族外銷,B,L4,,,,,,
34093,C1 標準內銷,B,L4,,,,,,
29323,C5 家族外銷,A,L4,,,,,,
3786,C4 品牌驅動,A,L4,,,,,,
4013,C1 標準內銷,B,L4/L6,,,,,,
5162,C4 品牌驅動,A,L4,,,,,,
5309,C5 家族外銷,A,L4,,,,,,
220,C5 家族外銷,A,L4,,,,,,
11640,C5 家族外銷,A,L4/L5,,,,,,
16537,C1 標準內銷,B,L4/L6,,,,,,
23067,C5 家族外銷,A,L4,,,,,,
20235,C5 家族外銷,A,L4,,,,,,
13615,C5 家族外銷,A,L4,,,,,,
31,C1 標準內銷,A,L4/L6,,,,,,
9173,C5 家族外銷,A,L4,,,,,,
41280,C1 標準內銷,A,L4,,,,,,
40178,C1 標準內銷,A,L4,,,,,,
15146,C4 品牌驅動,B,L4/L6,,,,,,
21704,C5 家族外銷,C2,L4,,,,,,
24910,C1 標準內銷,A,L4,,,,,,
917,C4 品牌驅動,B,L4,,,,,,
6085,C1 標準內銷,A,L4,,,,,,
14095,C5 家族外銷,B,L4,,,,,,
15219,C1 標準內銷,A,L4,,,,,,
9175,C5 家族外銷,A,L4,,,,,,
47998,C1 標準內銷,C1,L4/L6,,,,,,
48068,C4 品牌驅動,A,L4,,,,,,
38003,C5 家族外銷,A,L4,,,,,,
5693,C1 標準內銷,A,L4/L5/L6,,,,,,
3291,C4 品牌驅動,A,L4,,,,,,
46208,C1 標準內銷,A,L4,,,,,,
17808,C5 家族外銷,A,L4,,,,,,
33228,C1 標準內銷,C2,L4,,,,,,
1559,C1 標準內銷,B,L4/L6,,,,,,
9130,C5 家族外銷,A,L4,,,,,,
30025,C4 品牌驅動,B,L4,,,,,,
28499,C5 家族外銷,B,L4/L5/L6,,,,,,
40535,C1 標準內銷,B,L4,,,,,,
30406,C1 標準內銷,A,L4,,,,,,
11836,C1 標準內銷,C2,L4,,,,,,
16677,C1 標準內銷,C2,L4,,,,,,
27387,C1 標準內銷,A,L4/L6,,,,,,
16715,C5 家族外銷,A,L4/L5,,,,,,
3433,C4 品牌驅動,A,L4,,,,,,
36401,C1 標準內銷,C2,L4/L6,,,,,,
21586,C4 品牌驅動,B,L4,,,,,,
46498,C1 標準內銷,A,L4,,,,,,
48529,C2 大型外商,A,L4,,,,,,
2277,C5 家族外銷,A,L4,,,,,,
3676,C1 標準內銷,A,L4,,,,,,
31410,C1 標準內銷,B,L4,,,,,,
1594,C5 家族外銷,C2,L4/L6,,,,,,
40453,C1 標準內銷,B,L4/L6,,,,,,
34366,C1 標準內銷,C2,L4,,,,,,
25585,C5 家族外銷,A,L4/L6,,,,,,
47962,C1 標準內銷,A,L4/L6,,,,,,
17417,C4 品牌驅動,A,L4,,,,,,
7486,C5 家族外銷,B,L4,,,,,,
44106,C5 家族外銷,C2,L4,,,,,,
29362,C5 家族外銷,A,L4,,,,,,
38681,C1 標準內銷,A,L4,,,,,,
4812,C1 標準內銷,C2,L4/L5/L6,,,,,,
19993,C5 家族外銷,C2,L4/L5/L6,,,,,,
9091,C5 家族外銷,B,L4,,,,,,
30099,C5 家族外銷,B,L4/L6,,,,,,
31730,C1 標準內銷,A,L4,,,,,,
20338,C1 標準內銷,B,L4/L6,,,,,,
5821,C5 家族外銷,A,L4,,,,,,
6872,C5 家族外銷,C2,L4,,,,,,
45266,C5 家族外銷,C2,L4/L6,,,,,,
17712,C5 家族外銷,A,L4/L6,,,,,,
39762,C5 家族外銷,B,L4,,,,,,
48,C4 品牌驅動,A,L4,,,,,,
45905,C1 標準內銷,A,L5,,,,,,
47121,C4 品牌驅動,A,L4/L5,,,,,,
22124,C4 品牌驅動,A,L4,,,,,,
11865,C1 標準內銷,B,L4,,,,,,
4729,C5 家族外銷,B,L4,,,,,,
35196,C5 家族外銷,A,L4/L6,,,,,,
27870,C5 家族外銷,C2,L5,,,,,,
27559,C5 家族外銷,B,L4,,,,,,
39882,C1 標準內銷,A,L4/L5,,,,,,
47194,C4 品牌驅動,B,L4,,,,,,
29429,C4 品牌驅動,A,L4,,,,,,
3690,C1 標準內銷,B,L4,,,,,,
24448,C1 標準內銷,A,L4,,,,,,
8248,C2 大型外商,C1,L4/L5/L6,,,,,,
11322,C0 微型內銷,C2,L4/L6,,,,,,
48563,C1 標準內銷,B,L4,,,,,,
47034,C1 標準內銷,A,L4,,,,,,
28393,C5 家族外銷,B,L4/L6,,,,,,
29331,C5 家族外銷,A,L4,,,,,,
42884,C2 大型外商,A,L4/L6,,,,,,
42820,C5 家族外銷,A,L4,,,,,,
34794,C5 家族外銷,A,L4,,,,,,
2882,C1 標準內銷,A,L4,,,,,,
39362,C1 標準內銷,B,L4,,,,,,
37811,C1 標準內銷,B,L5,,,,,,
2025,C1 標準內銷,B,L4/L6,,,,,,
35424,C1 標準內銷,C2,L4,,,,,,
39461,C1 標準內銷,C2,L4,,,,,,
42852,C1 標準內銷,B,L4,,,,,,
5605,C5 家族外銷,B,L4,,,,,,
12387,C1 標準內銷,A,L4,,,,,,
15350,C5 家族外銷,B,L4,,,,,,
5944,C1 標準內銷,A,L4,,,,,,
2188,C5 家族外銷,A,L4,,,,,,
3760,C5 家族外銷,A,L4,,,,,,
4862,C6 外資貿易,B,L4/L6,,,,,,
13095,C1 標準內銷,B,L4,,,,,,
14678,C5 家族外銷,A,L4,,,,,,
33645,C5 家族外銷,C2,L4,,,,,,
40625,C5 家族外銷,A,L4/L6,,,,,,
40437,C1 標準內銷,B,L4,,,,,,
32312,C1 標準內銷,B,L4,,,,,,
48253,C5 家族外銷,A,L4/L6,,,,,,
1271,C5 家族外銷,C2,L4/L6,,,,,,
29336,C5 家族外銷,B,L4,,,,,,
47098,C6 外資貿易,A,L4,,,,,,
29796,C6 外資貿易,B,L4,,,,,,
10336,C5 家族外銷,B,L4,,,,,,
47091,C1 標準內銷,B,L4,,,,,,
28308,C5 家族外銷,A,L4,,,,,,
42578,C1 標準內銷,B,L4,,,,,,
23505,C5 家族外銷,B,L4/L6,,,,,,
14546,C5 家族外銷,B,L4,,,,,,
27768,C5 家族外銷,A,L4,,,,,,
28533,C5 家族外銷,B,L4,,,,,,
117,C4 品牌驅動,A,L4,,,,,,
40673,C1 標準內銷,A,L4/L6,,,,,,
9812,C5 家族外銷,C1,L4/L6,,,,,,
42019,C5 家族外銷,A,L4,,,,,,
29705,C5 家族外銷,A,L4/L6,,,,,,
29688,C5 家族外銷,A,L4,,,,,,
30983,C5 家族外銷,A,L4,,,,,,
7447,C5 家族外銷,A,L4,,,,,,
48677,C1 標準內銷,B,L4/L6,,,,,,
45475,C1 標準內銷,B,L4,,,,,,
60,C4 品牌驅動,C1,L4,,,,,,
5015,C1 標準內銷,C2,L4,,,,,,
23761,C1 標準內銷,B,L4,,,,,,
16064,C5 家族外銷,B,L4/L6,,,,,,
19644,C5 家族外銷,A,L4/L6,,,,,,
29146,C4 品牌驅動,A,L4,,,,,,
12771,C1 標準內銷,A,L4/L6,,,,,,
10123,C5 家族外銷,B,L4/L5,,,,,,
48696,C1 標準內銷,B,L4,,,,,,
30030,C1 標準內銷,B,L4/L6,,,,,,
31047,C1 標準內銷,C2,L4/L6,,,,,,
41354,C5 家族外銷,A,L4,,,,,,
45553,C5 家族外銷,A,L4,,,,,,
16740,C6 外資貿易,B,L4,,,,,,
40972,C5 家族外銷,A,L4,,,,,,
15589,C5 家族外銷,B,L4,,,,,,
